Geneid	Chr	Start	End	Length
XP_003659170.1	NC_016472;NC_016472	3434900;3437057	3436969;3437332	2346
XP_003659171.1	NC_016472	3437981	3439843	1863
XP_003659172.1	NC_016472;NC_016472;NC_016472	3444123;3444890;3447896	3444817;3447832;3448229	3972
XP_003659173.1	NC_016472;NC_016472;NC_016472;NC_016472	3449290;3450062;3450605;3450736	3449841;3450547;3450676;3450810	1185
XP_003659174.1	NC_016472	3451701	3452474	774
XP_003659175.1	NC_016472;NC_016472;NC_016472	3453832;3454197;3454791	3454121;3454691;3455028	1023
XP_003659176.1	NC_016472;NC_016472;NC_016472;NC_016472	3456737;3456936;3457082;3457215	3456848;3457012;3457159;3457523	576
XP_003659177.1	NC_016472	3458189	3459628	1440
XP_003659178.1	NC_016472;NC_016472;NC_016472;NC_016472	3462441;3463027;3465530;3465619	3462955;3465500;3465546;3466062	3450
XP_003659179.1	NC_016472;NC_016472	3467209;3467895	3467794;3469144	1836
XP_003659180.1	NC_016472	3470717	3470926	210
XP_003659181.1	NC_016472	3472769	3477400	4632
XP_003659182.1	NC_016472;NC_016472	3478515;3479114	3478835;3479899	1107
XP_003659183.1	NC_016472;NC_016472;NC_016472	3480555;3480801;3481063	3480738;3480998;3481811	1131
XP_003659184.1	NC_016472;NC_016472;NC_016472	3483702;3484103;3484713	3484038;3484588;3485254	1365
XP_003659185.1	NC_016472;NC_016472	3486163;3486977	3486851;3487142	855
XP_003659186.1	NC_016472;NC_016472	3487332;3488364	3488313;3488833	1452
XP_003659187.1	NC_016472;NC_016472	3489752;3489907	3489858;3490045	246
XP_003659188.1	NC_016472;NC_016472;NC_016472;NC_016472	3490742;3491441;3491713;3492566	3491341;3491638;3492364;3492960	1845
XP_003659189.1	NC_016472;NC_016472;NC_016472	3494506;3496161;3496592	3496071;3496432;3496994	2241
XP_003659190.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	3500904;3501058;3501263;3501662;3502867;3503222	3500997;3501118;3501422;3502786;3503098;3503778	2229
XP_003659191.1	NC_016472;NC_016472	3504411;3504902	3504748;3504983	420
XP_003659192.1	NC_016472	3505692	3505865	174
XP_003659193.1	NC_016472;NC_016472;NC_016472	3507063;3507193;3507809	3507117;3507741;3508206	1002
XP_003659194.1	NC_016472;NC_016472	3508844;3509029	3508934;3509723	786
XP_003659195.1	NC_016472	3510650	3511945	1296
XP_003659196.1	NC_016472	3513376	3513597	222
XP_003659197.1	NC_016472;NC_016472	3514890;3516988	3516901;3517093	2118
XP_003659198.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	3522654;3522804;3522907;3523029;3523144;3523352;3523750;3523951;3524209;3524318	3522668;3522827;3522966;3523043;3523202;3523449;3523853;3523990;3524271;3524331	492
XP_003659199.1	NC_016472;NC_016472;NC_016472	3526251;3526317;3526633	3526253;3526568;3529125	2748
XP_003659200.1	NC_016472;NC_016472	3530145;3530996	3530842;3531236	939
XP_003659201.1	NC_016472	3531924	3533222	1299
XP_003659202.1	NC_016472;NC_016472	3537406;3537597	3537491;3538494	984
XP_003659203.1	NC_016472;NC_016472;NC_016472	3538888;3539683;3539870	3539607;3539775;3539896	840
XP_003659204.1	NC_016472	3540786	3543182	2397
XP_003659205.1	NC_016472;NC_016472;NC_016472	3624642;3625409;3625586	3625048;3625526;3625672	612
XP_003659206.1	NC_016472;NC_016472	3625907;3629234	3629177;3629481	3519
XP_003659207.1	NC_016472	3630033	3631688	1656
XP_003659208.1	NC_016472	3632870	3633457	588
XP_003659209.1	NC_016472;NC_016472;NC_016472	3634454;3635108;3635772	3634998;3635687;3635891	1245
XP_003659210.1	NC_016472;NC_016472	3636753;3639001	3638880;3639461	2589
XP_003659211.1	NC_016472;NC_016472	3641962;3642671	3642596;3643064	1029
XP_003659212.1	NC_016472;NC_016472;NC_016472	3643379;3643737;3644253	3643678;3644195;3646244	2751
XP_003659213.1	NC_016472;NC_016472	3646528;3647950	3647892;3649839	3255
XP_003659214.1	NC_016472	3650917	3652218	1302
XP_003659215.1	NC_016472;NC_016472;NC_016472	3654081;3654653;3655543	3654575;3655490;3657398	3189
XP_003659216.1	NC_016472;NC_016472;NC_016472	3657811;3657871;3658765	3657817;3658625;3658938	936
XP_003659217.1	NC_016472;NC_016472	3659751;3661177	3661060;3661507	1641
XP_003659218.1	NC_016472;NC_016472;NC_016472;NC_016472	3662378;3662759;3663661;3663796	3662691;3663589;3663730;3663831	1251
XP_003659219.1	NC_016472;NC_016472;NC_016472;NC_016472	3665830;3667924;3670017;3670580	3667863;3669823;3670500;3671447	5286
XP_003659220.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	3677006;3677893;3678169;3678703;3678753;3678905;3679048;3679269;3679787;3680084;3680267;3680547	3677827;3678075;3678652;3678704;3678855;3678971;3679209;3679715;3680014;3680188;3680457;3680575	2823
XP_003659221.1	NC_016472	3682007	3682273	267
XP_003659222.1	NC_016472	3683048	3684208	1161
XP_003659223.1	NC_016472;NC_016472	3685360;3685709	3685482;3686983	1398
XP_003659224.1	NC_016472;NC_016472	3687368;3687977	3687824;3688851	1332
XP_003659225.1	NC_016472;NC_016472;NC_016472	3690101;3690758;3691495	3690689;3691438;3692423	2199
XP_003659226.1	NC_016472;NC_016472	3693856;3695290	3695026;3695654	1536
XP_003659227.1	NC_016472;NC_016472;NC_016472	3696701;3696775;3697192	3696716;3697133;3697845	1029
XP_003659228.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	3698479;3698624;3699035;3699129;3699232;3699343;3699513	3698532;3698692;3699069;3699164;3699276;3699409;3700262	1056
XP_003659229.1	NC_016472;NC_016472	3700422;3701620	3701533;3702574	2067
XP_003659230.1	NC_016472;NC_016472	3703838;3707672	3707582;3707832	3906
XP_003659231.1	NC_016472;NC_016472	3710051;3710197	3710118;3711571	1443
XP_003659232.1	NC_016472;NC_016472	3711971;3714242	3714180;3714668	2637
XP_003659233.1	NC_016472;NC_016472;NC_016472	3716441;3717356;3717774	3717287;3717701;3717897	1317
XP_003659234.1	NC_016472;NC_016472;NC_016472	3720160;3720446;3722444	3720380;3722375;3722917	2625
XP_003659235.1	NC_016472;NC_016472;NC_016472;NC_016472	3723510;3724956;3725286;3725623	3724904;3725181;3725530;3725886	2130
XP_003659236.1	NC_016472;NC_016472	3726973;3727208	3727136;3728246	1203
XP_003659237.1	NC_016472;NC_016472	3729770;3730085	3729972;3730382	501
XP_003659238.1	NC_016472;NC_016472;NC_016472	3730968;3731616;3731894	3731285;3731810;3732178	798
XP_003659239.1	NC_016472;NC_016472;NC_016472	3732688;3733240;3733562	3732774;3733345;3733722	354
XP_003659240.1	NC_016472;NC_016472;NC_016472	3734397;3735639;3735931	3735567;3735855;3736063	1521
XP_003659241.1	NC_016472	3739879	3741900	2022
XP_003659242.1	NC_016472;NC_016472;NC_016472;NC_016472	3742986;3745507;3745856;3747382	3745447;3745736;3747288;3748797	5541
XP_003659243.1	NC_016472;NC_016472;NC_016472	3749056;3749899;3750091	3749734;3749997;3750182	870
XP_003659244.1	NC_016472;NC_016472;NC_016472	3750706;3751004;3751222	3750876;3751087;3752058	1092
XP_003659245.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	3755003;3755663;3756187;3756658;3757598	3755141;3756038;3756571;3757028;3757715	1389
XP_003659246.1	NC_016472;NC_016472;NC_016472	3758198;3758286;3758861	3758215;3758362;3759386	621
XP_003659247.1	NC_016472;NC_016472;NC_016472	3761104;3761788;3762174	3761720;3762114;3762450	1221
XP_003659248.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	3770871;3771875;3772034;3772166;3772487;3772562;3773082;3773839;3774072;3774283;3774755;3774957;3775094;3775801;3776114;3776305	3771581;3772001;3772091;3772413;3772512;3772721;3773612;3773979;3774220;3774708;3774901;3775021;3775617;3776049;3776214;3776481	3840
XP_003659249.1	NC_016472;NC_016472;NC_016472	3777613;3777782;3777997	3777687;3777932;3778034	264
XP_003659250.1	NC_016472;NC_016472;NC_016472	3781064;3781208;3781499	3781135;3781412;3782103	882
XP_003659251.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	3785751;3785945;3787390;3787565;3787678	3785760;3787276;3787476;3787604;3787831	1623
XP_003659252.1	NC_016472	3788716	3792108	3393
XP_003659253.1	NC_016472	3794916	3796709	1794
XP_003659254.1	NC_016472;NC_016472	3798320;3799696	3799618;3803928	5532
XP_003659255.1	NC_016472	3805653	3806471	819
XP_003659256.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	3809536;3809812;3809922;3810454;3810719;3811080	3809706;3809846;3810399;3810619;3810995;3811464	1512
XP_003659257.1	NC_016472;NC_016472;NC_016472;NC_016472	3811819;3812540;3812958;3813170	3812401;3812857;3813077;3813771	1623
XP_003659258.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	3815865;3815943;3816123;3816310;3816682	3815878;3816051;3816195;3816559;3817261	1026
XP_003659259.1	NC_016472	3818115	3819515	1401
XP_003659260.1	NC_016472	3822229	3823536	1308
XP_003659261.1	NC_016472;NC_016472	3825826;3827241	3827167;3830125	4227
XP_003659262.1	NC_016472;NC_016472;NC_016472;NC_016472	3834326;3834603;3834852;3835077	3834542;3834745;3834959;3835721	1113
XP_003659263.1	NC_016472	3836147	3836824	678
XP_003659264.1	NC_016472;NC_016472	3838952;3839337	3839238;3839358	309
XP_003659265.1	NC_016472;NC_016472;NC_016472	3840289;3840384;3841324	3840311;3841266;3841866	1449
XP_003659266.1	NC_016472	3843590	3844471	882
XP_003659267.1	NC_016472;NC_016472	3845049;3845508	3845373;3845767	585
XP_003659268.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	3846149;3846875;3847281;3847440;3847511	3846785;3847205;3847360;3847450;3847564	1113
XP_003659269.1	NC_016472;NC_016472;NC_016472;NC_016472	3848482;3848571;3848935;3849430	3848499;3848860;3849364;3849471	780
XP_003659270.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	3850328;3851052;3851555;3852122;3852421	3850995;3851503;3852030;3852318;3852469	1842
XP_003659271.1	NC_016472;NC_016472	3853784;3854089	3853849;3854379	357
XP_003659272.1	NC_016472	3855286	3858003	2718
XP_003659273.1	NC_016472;NC_016472;NC_016472	3859465;3860356;3860874	3860290;3860804;3860939	1341
XP_003659274.1	NC_016472	3861717	3864062	2346
XP_003659275.1	NC_016472;NC_016472;NC_016472	3864721;3865110;3865346	3864933;3865209;3865425	393
XP_003659276.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	3865677;3868633;3868923;3869857;3870086	3868572;3868858;3869797;3869995;3870128	4179
XP_003659277.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	3871405;3872048;3872519;3872821;3873071	3871949;3872450;3872745;3872978;3873609	1872
XP_003659278.1	NC_016472;NC_016472	3874988;3875615	3875470;3876256	1125
XP_003659279.1	NC_016472;NC_016472;NC_016472	3878871;3879128;3879516	3879063;3879439;3879670	660
XP_003659280.1	NC_016472	3881450	3882592	1143
XP_003659281.1	NC_016472;NC_016472;NC_016472	3884496;3884669;3884861	3884606;3884797;3885232	612
XP_003659282.1	NC_016472;NC_016472	3885739;3886495	3886411;3886672	851
XP_003659283.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	3887386;3887528;3887725;3887862;3890337	3887386;3887673;3887787;3890267;3890522	2802
XP_003659284.1	NC_016472;NC_016472;NC_016472	3890833;3891182;3892258	3891042;3892155;3892654	1581
XP_003659285.1	NC_016472	3893178	3894512	1335
XP_003659286.1	NC_016472;NC_016472;NC_016472	3895296;3895369;3896275	3895304;3896157;3896406	930
XP_003659287.1	NC_016472	3897232	3898269	1038
XP_003659288.1	NC_016472	3898797	3899240	444
XP_003659289.1	NC_016472	3900229	3902361	2133
XP_003659290.1	NC_016472	3902969	3903757	789
XP_003659291.1	NC_016472	3904772	3906025	1254
XP_003659292.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	3906257;3907270;3907455;3907662;3908558	3907213;3907398;3907601;3908422;3908777	2214
XP_003659293.1	NC_016472;NC_016472;NC_016472;NC_016472	3910375;3910507;3910802;3911162	3910422;3910744;3911104;3912495	1923
XP_003659294.1	NC_016472	3913304	3914452	1149
XP_003659295.1	NC_016472;NC_016472;NC_016472	3915064;3915266;3915619	3915076;3915468;3915969	567
XP_003659296.1	NC_016472	3916641	3918500	1860
XP_003659297.1	NC_016472;NC_016472	3919301;3920976	3920896;3921887	2508
XP_003659298.1	NC_016472;NC_016472	3924478;3924791	3924588;3925507	828
XP_003659299.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	3925979;3926179;3927111;3927782;3927926	3926085;3927040;3927692;3927849;3928196	1890
XP_003659300.1	NC_016472;NC_016472	3929037;3930306	3930245;3930749	1653
XP_003659301.1	NC_016472	3931564	3932244	681
XP_003659302.1	NC_016472	3935143	3935313	171
XP_003659303.1	NC_016472	3935993	3937042	1050
XP_003659304.1	NC_016472	3938967	3940742	1776
XP_003659305.1	NC_016472	3942196	3942555	360
XP_003659306.1	NC_016472;NC_016472	3946500;3947192	3947116;3947777	1203
XP_003659307.1	NC_016472	3948587	3950578	1992
XP_003659308.1	NC_016472;NC_016472	3953416;3953736	3953606;3956190	2646
XP_003659309.1	NC_016472	3956946	3957995	1050
XP_003659310.1	NC_016472;NC_016472	3958569;3960523	3960469;3960985	2364
XP_003659311.1	NC_016472;NC_016472;NC_016472	3964147;3964602;3964858	3964418;3964795;3967946	3555
XP_003659312.1	NC_016472;NC_016472	3968639;3969098	3968783;3969519	567
XP_003659313.1	NC_016472;NC_016472;NC_016472	3969873;3971039;3971254	3970909;3971184;3971282	1212
XP_003659314.1	NC_016472	3973809	3975908	2100
XP_003659315.1	NC_016472;NC_016472	3976351;3977307	3977161;3977326	831
XP_003659316.1	NC_016472;NC_016472	3978452;3980276	3980128;3980416	1818
XP_003659317.1	NC_016472;NC_016472;NC_016472	3980988;3981833;3982534	3981734;3982042;3983844	2268
XP_003659318.1	NC_016472	3985220	3986965	1746
XP_003659319.1	NC_016472;NC_016472;NC_016472	3988328;3989589;3990644	3989493;3990480;3990964	2379
XP_003659320.1	NC_016472	3991728	3991913	186
XP_003659321.1	NC_016472;NC_016472	3992271;3993487	3993161;3993642	1047
XP_003659322.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	3996706;3996945;3997572;3997818;3998435	3996829;3997502;3997751;3998359;3999775	2745
XP_003659323.1	NC_016472;NC_016472;NC_016472;NC_016472	4001088;4001629;4001767;4001995	4001519;4001659;4001893;4002082	678
XP_003659324.1	NC_016472;NC_016472	4002739;4004233	4004153;4004317	1500
XP_003659325.1	NC_016472;NC_016472;NC_016472	4005247;4005764;4006022	4005646;4005962;4006109	687
XP_003659326.1	NC_016472	4006737	4009754	3018
XP_003659327.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	4010597;4010770;4011259;4011711;4011905	4010704;4011189;4011632;4011752;4012097	1137
XP_003659328.1	NC_016472;NC_016472	4012754;4015019	4014931;4015153	2313
XP_003659329.1	NC_016472;NC_016472;NC_016472;NC_016472	4015898;4016891;4017321;4018146	4016828;4017267;4018073;4018400	2316
XP_003659330.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	4020088;4020410;4020534;4020703;4021074;4021206;4021350;4021595	4020337;4020448;4020640;4021009;4021139;4021267;4021515;4021716	1119
XP_003659331.1	NC_016472;NC_016472;NC_016472	4022194;4022442;4023599	4022386;4023387;4024082	1623
XP_003659332.1	NC_016472;NC_016472	4025024;4029727	4029624;4030117	4992
XP_003659333.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	4031445;4032147;4032722;4033072;4033862	4032013;4032642;4032984;4033380;4033919	1695
XP_003659334.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	4036115;4037069;4037463;4037756;4038738	4037007;4037391;4037698;4038632;4038847	2439
XP_003659335.1	NC_016472;NC_016472	4040881;4042785	4042713;4043723	2772
XP_003659336.1	NC_016472;NC_016472	4046005;4046715	4046662;4046833	777
XP_003659337.1	NC_016472	4049426	4051066	1641
XP_003659338.1	NC_016472;NC_016472	4052097;4052224	4052153;4053222	1056
XP_003659339.1	NC_016472;NC_016472	4054627;4055244	4055187;4055282	600
XP_003659340.1	NC_016472;NC_016472;NC_016472	4055928;4056037;4056227	4055983;4056160;4056622	576
XP_003659341.1	NC_016472;NC_016472	4057667;4058371	4058258;4059296	1518
XP_003659342.1	NC_016472;NC_016472;NC_016472;NC_016472	4059658;4062008;4062534;4063789	4061933;4062509;4063675;4063933	4065
XP_003659343.1	NC_016472;NC_016472;NC_016472	4066148;4066906;4068055	4066851;4067527;4068915	2187
XP_003659344.1	NC_016472;NC_016472	4069093;4070427	4070361;4070639	1482
XP_003659345.1	NC_016472;NC_016472;NC_016472;NC_016472	4071055;4071201;4071498;4071845	4071109;4071323;4071736;4071913	486
XP_003659346.1	NC_016472;NC_016472;NC_016472	4072753;4074683;4075022	4074609;4074949;4075060	2163
XP_003659347.1	NC_016472;NC_016472;NC_016472;NC_016472	4075591;4076533;4077162;4077447	4076466;4077088;4077284;4077460	1569
XP_003659348.1	NC_016472	4079572	4080702	1131
XP_003659349.1	NC_016472;NC_016472;NC_016472;NC_016472	4081113;4081294;4082236;4082604	4081167;4082149;4082542;4083029	1644
XP_003659350.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	4084964;4085218;4085610;4086251;4087141	4085109;4085537;4086123;4087044;4087409	2043
XP_003659351.1	NC_016472;NC_016472	4087945;4088360	4088243;4088912	852
XP_003659352.1	NC_016472	4090219	4091814	1596
XP_003659353.1	NC_016472;NC_016472	4092232;4092642	4092488;4093083	699
XP_003659354.1	NC_016472;NC_016472	4093568;4093809	4093659;4094034	318
XP_003659355.1	NC_016472;NC_016472;NC_016472	4094473;4095196;4095924	4095129;4095845;4096221	1605
XP_003659356.1	NC_016472	4097556	4099067	1512
XP_003659357.1	NC_016472	4103437	4103640	204
XP_003659358.1	NC_016472;NC_016472;NC_016472	4104973;4105934;4106318	4105871;4106261;4106419	1329
XP_003659359.1	NC_016472	4107794	4108777	984
XP_003659360.1	NC_016472;NC_016472	4110489;4110849	4110730;4111347	741
XP_003659361.1	NC_016472;NC_016472;NC_016472	4113924;4114489;4115134	4114245;4115026;4115248	975
XP_003659362.1	NC_016472;NC_016472	4115958;4116247	4116152;4116372	321
XP_003659363.1	NC_016472;NC_016472;NC_016472;NC_016472	4116579;4117175;4117258;4117444	4117106;4117200;4117350;4117618	822
XP_003659364.1	NC_016472;NC_016472;NC_016472	4119104;4119212;4119411	4119128;4119288;4119602	294
XP_003659365.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	4120030;4121061;4121151;4121390;4121555	4120998;4121095;4121317;4121492;4121594	1314
XP_003659366.1	NC_016472	4122990	4124291	1302
XP_003659367.1	NC_016472	4127406	4128815	1410
XP_003659368.1	NC_016472	4129305	4130048	744
XP_003659369.1	NC_016472	4130734	4132440	1707
XP_003659370.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	4133747;4134667;4134886;4135011;4135201;4135371;4135516;4135769	4134615;4134828;4134955;4135146;4135319;4135454;4135656;4136845	2658
XP_003659371.1	NC_016472;NC_016472	4138198;4138969	4138857;4139520	1212
XP_003659372.1	NC_016472;NC_016472;NC_016472	4140656;4142235;4142429	4142155;4142342;4142593	1773
XP_003659373.1	NC_016472	4148575	4149612	1038
XP_003659374.1	NC_016472;NC_016472;NC_016472	4151543;4151970;4152111	4151809;4152037;4152255	480
XP_003659375.1	NC_016472;NC_016472;NC_016472	4155468;4157413;4157916	4157236;4157505;4157979	1926
XP_003659376.1	NC_016472;NC_016472	4165326;4165590	4165521;4168360	2967
XP_003659377.1	NC_016472;NC_016472	4168905;4170660	4170583;4170687	1707
XP_003659378.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	4171469;4171705;4171833;4172155;4172458	4171599;4171746;4171900;4172303;4172805	738
XP_003659379.1	NC_016472;NC_016472	4190997;4191399	4191323;4193117	2046
XP_003659380.1	NC_016472;NC_016472	4195668;4196300	4196221;4199822	4077
XP_003659381.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	4201310;4201696;4202534;4203343;4203954	4201618;4202475;4203285;4203884;4204732	3162
XP_003659382.1	NC_016472;NC_016472	4205249;4207023	4206960;4207218	1908
XP_003659383.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	4207958;4208181;4208397;4209513;4209720;4210807	4208092;4208335;4209447;4209629;4210746;4210931	2610
XP_003659384.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	4211982;4212068;4212446;4212561;4212868;4213367;4213516;4213730	4212014;4212378;4212509;4212812;4213312;4213463;4213677;4213895	1530
XP_003659385.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	4216776;4217241;4217324;4217493;4221608	4217180;4217267;4217423;4221546;4222034	5013
XP_003659386.1	NC_016472;NC_016472	4223212;4224847	4224779;4225069	1791
XP_003659387.1	NC_016472;NC_016472;NC_016472;NC_016472	4228864;4229099;4229465;4229645	4229040;4229318;4229584;4231215	2088
XP_003659388.1	NC_016472;NC_016472	4231702;4232848	4232780;4233067	1299
XP_003659389.1	NC_016472;NC_016472;NC_016472	4233764;4233931;4234374	4233843;4234278;4234527	582
XP_003659390.1	NC_016472	4236067	4236222	156
XP_003659391.1	NC_016472	4236667	4237824	1158
XP_003659392.1	NC_016472	4238154	4238330	177
XP_003659393.1	NC_016472	4238623	4239792	1170
XP_003659394.1	NC_016472;NC_016472;NC_016472	4241905;4242640;4242998	4242568;4242928;4243418	1374
XP_003659395.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	4247020;4251165;4251777;4252478;4252720	4250250;4251638;4252346;4252499;4253501	5079
XP_003659396.1	NC_016472;NC_016472	4254127;4254996	4254849;4255124	852
XP_003659397.1	NC_016472;NC_016472	4256527;4257711	4257604;4258378	1746
XP_003659398.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	4263744;4264448;4264926;4265060;4265237	4264289;4264866;4265003;4265161;4265531	1440
XP_003659399.1	NC_016472;NC_016472;NC_016472	4266122;4266710;4267198	4266654;4267136;4267293	1056
XP_003659400.1	NC_016472;NC_016472	4268034;4268358	4268232;4270738	2580
XP_003659401.1	NC_016472	4271288	4274527	3240
XP_003659402.1	NC_016472;NC_016472	4277196;4277472	4277367;4278967	1668
XP_003659403.1	NC_016472;NC_016472	4281010;4282247	4282179;4283227	2151
XP_003659404.1	NC_016472;NC_016472;NC_016472	4285993;4286485;4289575	4286420;4289517;4289722	3609
XP_003659405.1	NC_016472	4290291	4290491	201
XP_003659406.1	NC_016472	4295158	4297353	2196
XP_003659407.1	NC_016472;NC_016472;NC_016472;NC_016472	4298680;4299892;4300044;4300423	4299836;4299963;4300355;4300429	1548
XP_003659408.1	NC_016472;NC_016472;NC_016472;NC_016472	4302835;4302950;4303087;4303762	4302851;4302984;4303659;4304138	1002
XP_003659409.1	NC_016472;NC_016472	4304839;4305592	4305463;4307162	2196
XP_003659410.1	NC_016472;NC_016472	4308895;4310451	4310391;4311071	2118
XP_003659411.1	NC_016472	4313764	4316127	2364
XP_003659412.1	NC_016472;NC_016472	4319466;4321045	4320983;4321473	1947
XP_003659413.1	NC_016472	4322339	4325656	3318
XP_003659414.1	NC_016472	4326070	4326801	732
XP_003659415.1	NC_016472;NC_016472	4331411;4332206	4332142;4333456	1983
XP_003659416.1	NC_016472;NC_016472;NC_016472	4335718;4336205;4337910	4336148;4337843;4338167	2328
XP_003659417.1	NC_016472;NC_016472;NC_016472;NC_016472	4339235;4339397;4339473;4339733	4339274;4339410;4339676;4339849	375
XP_003659418.1	NC_016472;NC_016472	4340486;4340772	4340560;4341233	537
XP_003659419.1	NC_016472	4341489	4342580	1092
XP_003659420.1	NC_016472;NC_016472	4344456;4344810	4344730;4346196	1662
XP_003659421.1	NC_016472	4347982	4348941	960
XP_003659422.1	NC_016472	4353586	4354017	432
XP_003659423.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	4355913;4356832;4357698;4358057;4359925;4360892	4356753;4357635;4357977;4359861;4360636;4361249	4800
XP_003659424.1	NC_016472;NC_016472;NC_016472;NC_016472	4362073;4362253;4362637;4363138	4362179;4362575;4363078;4363165	900
XP_003659425.1	NC_016472;NC_016472	4391061;4391368	4391190;4392887	1650
XP_003659426.1	NC_016472;NC_016472;NC_016472;NC_016472	4393346;4394086;4394286;4394598	4394024;4394148;4394443;4394672	975
XP_003659427.1	NC_016472;NC_016472;NC_016472;NC_016472	4395342;4395558;4396517;4396646	4395502;4396460;4396574;4396651	1128
XP_003659428.1	NC_016472;NC_016472;NC_016472	4397787;4397958;4399684	4397865;4399624;4399821	1884
XP_003659429.1	NC_016472;NC_016472	4400081;4401155	4401060;4401470	1296
XP_003659430.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	4402267;4402353;4402710;4402877;4403219;4405334;4405457	4402297;4402647;4402819;4403162;4405267;4405391;4405471	2844
XP_003659431.1	NC_016472	4406150	4406425	276
XP_003659432.1	NC_016472;NC_016472	4407724;4408056	4407966;4408115	303
XP_003659433.1	NC_016472;NC_016472	4408782;4411385	4411309;4411472	2616
XP_003659434.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	4413401;4413718;4413889;4414494;4414792;4414899;4415056	4413629;4413802;4414388;4414733;4414834;4414999;4415228	1371
XP_003659435.1	NC_016472	4415448	4416683	1236
XP_003659436.1	NC_016472;NC_016472;NC_016472;NC_016472	4418374;4418553;4418725;4418827	4418485;4418667;4418759;4418876	312
XP_003659437.1	NC_016472;NC_016472;NC_016472;NC_016472	4419700;4419876;4420322;4422015	4419798;4420259;4421929;4422326	2403
XP_003659438.1	NC_016472;NC_016472;NC_016472	4423628;4424357;4426592	4424293;4426549;4427908	4176
XP_003659439.1	NC_016472;NC_016472	4429380;4429907	4429784;4430176	675
XP_003659440.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	4430586;4430932;4431088;4431699;4431816;4431903;4432129;4432364;4432490;4432579;4432674;4432820;4432975;4433144	4430826;4431013;4431618;4431726;4431830;4432065;4432290;4432423;4432513;4432605;4432732;4432909;4433083;4433442	1890
XP_003659441.1	NC_016472;NC_016472;NC_016472;NC_016472	4434377;4434601;4435932;4437137	4434523;4435842;4437006;4437258	2586
XP_003659442.1	NC_016472;NC_016472	4438767;4438916	4438853;4439611	783
XP_003659443.1	NC_016472;NC_016472	4440776;4440974	4440895;4441177	324
XP_003659444.1	NC_016472;NC_016472;NC_016472	4441915;4442234;4444370	4442110;4444297;4444494	2385
XP_003659445.1	NC_016472;NC_016472	4445142;4445482	4445386;4445983	747
XP_003659446.1	NC_016472;NC_016472	4446429;4446795	4446679;4447563	1020
XP_003659447.1	NC_016472;NC_016472	4454140;4454518	4454465;4455769	1578
XP_003659448.1	NC_016472	4456936	4460121	3186
XP_003659449.1	NC_016472;NC_016472;NC_016472;NC_016472	4461649;4461998;4462250;4462797	4461934;4462184;4462742;4463000	1170
